trade_date,stock_count,total_mv_sum_wanyuan,total_mv_sum_yiyuan,total_mv_sum_wanyiyuan
2015-01-30,2354,4160057904.3126,416005.79043126,41.600579043126004
2015-02-27,2386,4402006155.352401,440200.6155352401,44.02006155352401
2015-03-31,2340,4980224729.3307,498022.47293307,49.802247293307
2015-04-30,2366,5959552151.295,595955.2151295,59.59552151295
2015-05-29,2335,6327777989.0067005,632777.79890067,63.277779890067
2015-06-30,2336,5778912554.278299,577891.2554278299,57.78912554278299
2015-07-31,2277,4912980031.494499,491298.00314944994,49.129800314944994
2015-08-31,2282,4176640825.3007,417664.08253007004,41.766408253007
2015-09-30,2350,4086465986.9247,408646.59869247,40.864659869247
2015-10-30,2386,4726176874.4264,472617.68744264,47.261768744264
2015-11-30,2473,5127303587.5189,512730.35875189,51.273035875189
2015-12-31,2544,5481623347.593599,548162.33475936,54.816233475935995
2016-01-29,2557,4115514653.6422997,411551.46536423,41.155146536423
2016-02-29,2537,3985001647.7563,398500.16477563,39.850016477563
2016-03-31,2535,4632802859.1986,463280.28591986,46.328028591986
2016-04-29,2528,4551047398.4821,455104.73984820995,45.510473984821
2016-05-31,2555,4618099830.7177,461809.98307177,46.180998307177
2016-06-30,2584,4781219150.237801,478121.9150237801,47.812191502378006
2016-07-29,2644,4842034206.222501,484203.42062225007,48.42034206222501
2016-08-31,2685,5144631070.4662,514463.10704662,51.446310704662
2016-09-30,2703,5029178304.439301,502917.83044393006,50.29178304439301
2016-10-31,2751,5261740429.9415,526174.04299415,52.617404299415
2016-11-30,2773,5527884359.9858,552788.43599858,55.278843599858
2016-12-30,2833,5306972481.4208,530697.24814208,53.069724814208
2017-01-26,2892,5438876796.3907,543887.6796390701,54.388767963907
2017-02-28,2896,5635767353.173201,563576.7353173201,56.357673531732004
2017-03-31,2945,5669178461.9019,566917.8461901901,56.691784619019
2017-04-28,2962,5493415017.025499,549341.50170255,54.934150170254995
2017-05-31,2985,5381276372.210401,538127.6372210401,53.81276372210401
2017-06-30,3021,5528517716.285601,552851.77162856,55.28517716285601
2017-07-31,3049,5652698954.4276,565269.89544276,56.526989544276
2017-08-31,3115,5898647298.360001,589864.729836,58.98647298360001
2017-09-29,3181,6040879396.1255,604087.93961255,60.408793961255
2017-10-31,3214,6163510535.6764,616351.05356764,61.635105356764
2017-11-30,3233,6011442722.9723,601144.27229723,60.114427229723
2017-12-29,3250,6057702176.7122,605770.2176712201,60.577021767122
2018-01-31,3262,6301832071.426399,630183.2071426399,63.01832071426399
2018-02-28,3226,5956508068.841999,595650.8068842,59.56508068841999
2018-03-30,3248,5918547810.6189,591854.7810618901,59.185478106189
2018-04-27,3271,5752181129.7603,575218.11297603,57.521811297602994
2018-05-31,3301,5752222474.3359,575222.24743359,57.522224743359004
2018-06-29,3324,5332140975.8595,533214.09758595,53.321409758594996
2018-07-31,3395,5433198121.6536,543319.81216536,54.331981216536
2018-08-31,3439,5179154890.7003,517915.48907003005,51.791548907003005
2018-09-28,3469,5302031964.1934,530203.1964193401,53.020319641934
2018-10-31,3480,4918307307.0463,491830.73070462997,49.183073070463
2018-11-30,3537,5049684948.4103,504968.49484103004,50.496849484103
2018-12-28,3550,4834392839.693001,483439.2839693001,48.34392839693001
2019-01-31,3568,5041955289.3505,504195.52893505,50.419552893505
2019-02-28,3570,5836157289.7159,583615.72897159,58.36157289715901
2019-03-29,3566,6212209183.800699,621220.9183800699,62.122091838006995
2019-04-30,3553,6159179316.7501,615917.93167501,61.591793167501
2019-05-31,3600,5811036688.4034,581103.66884034,58.11036688403401
2019-06-28,3613,5985261525.266999,598526.1525266999,59.85261525266999
2019-07-31,3647,6019409625.6688,601940.96256688,60.194096256688006
2019-08-30,3661,5993519106.6723,599351.91066723,59.935191066723
