year,month,date,manufacturing_pmi,source_url,status
2024,6,2024-06-01,49.5,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,7,2024-07-01,49.4,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,8,2024-08-01,49.1,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,9,2024-09-01,49.8,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,10,2024-10-01,50.1,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,11,2024-11-01,50.3,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2024,12,2024-12-01,50.1,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,1,2025-01-01,49.1,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,2,2025-02-01,50.2,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,3,2025-03-01,50.5,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,4,2025-04-01,49.0,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,5,2025-05-01,49.5,https://www.stats.gov.cn/sj/zxfb/202506/t20250630_1960283.html,OK
2025,6,2025-06-01,49.7,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,7,2025-07-01,49.3,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,8,2025-08-01,49.4,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,9,2025-09-01,49.8,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,10,2025-10-01,49.0,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,11,2025-11-01,49.2,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2025,12,2025-12-01,50.1,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2026,1,2026-01-01,49.3,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2026,2,2026-02-01,49.0,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2026,3,2026-03-01,50.4,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2026,4,2026-04-01,50.3,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
2026,5,2026-05-01,50.0,https://www.stats.gov.cn/sj/zxfb/202605/t20260531_1963824.html,OK
