year,month,date,household_deposits,sheet_name,row_index,col_index,matched_row,source_url,source_file,status
2015,1,2015-01-01,506890.408176938,Sheet1,10,1,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,2,2015-02-01,532341.258050371,Sheet1,10,2,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,3,2015-03-01,538398.987427076,Sheet1,10,3,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,4,2015-04-01,527888.903354699,Sheet1,10,4,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,5,2015-05-01,523475.580757314,Sheet1,10,5,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,6,2015-06-01,532828.54291045,Sheet1,10,6,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,7,2015-07-01,532232.133727117,Sheet1,10,7,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,8,2015-08-01,534097.567583936,Sheet1,10,8,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,9,2015-09-01,541748.735285342,Sheet1,10,9,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
2015,10,2015-10-01,535827.830454861,Sheet1,10,10,"['1.住户存款 Deposits of Households', 506890.408176938, 532341.258050371, 538398.987427076, 527888.903354699, 523475.580757314, 532828.54291045, 532232.133727117, 534097.567583936, 541748.735285342, 535827.830454861, 536766.179934373, 546077.851974837]",https://www.pbc.gov.cn/diaochatongjisi/attachDir/2025/11/2025111810564114123.xls,pboc_xls_cache/2015_2025111810564114123.xls,OK
